Name,Record,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Ken Stone,11-4-0,"5' 8""",135 lbs.,"71""",Southpaw,"Oct 08, 1982",3.85,49%,2.90,48%,1.24,33%,60%,0.6
Ryan Stonitsch,8-1-0,"5' 9""",170 lbs.,--,Southpaw,"Feb 03, 1977",2.53,36%,2.53,71%,0.00,0%,0%,0.0
George Stork,7-9-0,"5' 10""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rick Story,19-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",3.80,41%,2.17,62%,2.53,48%,63%,0.9
Darko Stosic,13-4-0,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992",2.61,45%,4.04,58%,3.42,50%,83%,0.0
Greg Stott,0-1-0,"5' 7""",220 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Curtis Stout,11-12-1,"6' 1""",185 lbs.,--,Southpaw,"Nov 07, 1973",0.69,67%,3.20,29%,0.00,0%,20%,0.0
Sam Stout,20-12-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1
Tim Stout,12-10-0,"5' 11""",185 lbs.,--,,"Feb 09, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jesse Strader,5-3-0,"5' 7""",135 lbs.,"70""",Orthodox,"May 29, 1991",5.03,51%,5.28,47%,3.87,57%,100%,0.0
Gennaro Strangis,0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dave Strasser,25-8-0,"5' 10""",170 lbs.,--,Orthodox,"Jul 13, 1969",3.04,45%,1.88,59%,0.72,33%,33%,0.0
Daniel Straus,24-7-0 (1 NC),"5' 7""",145 lbs.,"71""",,"Jul 27, 1984",4.76,43%,2.99,57%,0.84,15%,81%,1.1
Gerald Strebendt,9-7-0,"5' 9""",155 lbs.,--,Orthodox,"Mar 01, 1979",0.00,0%,4.00,38%,0.00,0%,0%,16.4
Sean Strickland,26-5-0,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",5.76,41%,4.25,63%,1.04,64%,85%,0.2
Mark Striegl,18-4-0 (1 NC),"5' 8""",145 lbs.,"70""",Southpaw,"Jun 23, 1988",1.40,45%,4.07,40%,0.00,0%,66%,0.0
Hans Stringer,22-8-3,"6' 3""",205 lbs.,--,Orthodox,"Jul 06, 1987",3.16,61%,2.84,41%,2.40,36%,62%,0.0
Stefan Struve,33-13-0,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7
Josh Stuart,1-4-0,"5' 9""",160 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mike Stumpf,11-4-0,"5' 10""",170 lbs.,--,,"Aug 01, 1986",3.34,43%,8.85,47%,1.59,25%,33%,0.8
Kyle Sturgeon,0-1-0,"6' 3""",225 lbs.,--,Switch,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tatiana Suarez,10-0-0,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",4.35,66%,1.34,49%,6.12,58%,100%,0.8
Masanori Suda,22-11-3,"5' 9""",183 lbs.,--,Orthodox,--,1.80,50%,1.20,63%,0.00,0%,60%,0.0
Genki Sudo,15-4-2,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978",1.55,39%,2.23,33%,3.58,60%,50%,4.2
Lucasz Sudolski,8-1-0,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 15, 1993",5.70,67%,4.89,28%,0.00,0%,100%,0.0
Daisuke Sugie,10-8-1,"5' 6""",160 lbs.,--,Orthodox,--,0.00,0%,0.22,80%,3.27,50%,0%,3.3
Takashi Sugiura,1-3-0,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970",1.37,40%,2.08,53%,1.33,66%,0%,0.0
Naho Sugiyuma,12-5-0,"5' 1""",105 lbs.,--,,"Feb 03, 1978",2.59,48%,2.45,71%,2.05,100%,66%,0.0
George Sullivan,17-7-0 (1 NC),"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981",3.53,39%,2.42,57%,1.37,20%,38%,0.7
Amar Suloev,24-7-0,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976",1.98,37%,2.19,70%,0.27,100%,88%,0.3
Magomed Sultanakhmedov,18-6-0,"6' 2""",185 lbs.,--,Southpaw,--,0.00,0%,2.40,42%,9.00,100%,0%,9.0
Justin Sumter,7-3-0,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989",2.68,48%,7.64,34%,2.87,100%,0%,0.0
 Sumudaerji,16-5-0,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.83,54%,2.75,62%,0.32,100%,66%,0.6
Rama Supandhi,8-4-0,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 07, 1991",2.20,42%,3.53,48%,1.00,11%,0%,0.0
Aji Susilo,6-4-0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jason Suttie,0-1-0,"6' 0""",210 lbs.,--,Orthodox,"Aug 07, 1973",2.07,83%,4.97,36%,0.00,0%,0%,0.0
Joel Sutton,2-4-1,"5' 11""",205 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chad Sutton,2-2-0,"6' 1""",185 lbs.,--,,"Aug 07, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danilo Suzart,9-2-0,"6' 0""",260 lbs.,--,Orthodox,"Dec 04, 1991",4.09,55%,11.73,51%,0.00,0%,0%,0.0
Martin Svensson,15-6-0,"6' 1""",155 lbs.,--,,"Apr 25, 1985",2.02,38%,5.91,38%,0.00,0%,0%,0.0
Daniel Swain,20-10-1,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 30, 1991",0.80,44%,3.20,40%,0.00,0%,0%,6.0
Cub Swanson,28-13-0,"5' 8""",135 lbs.,"70""",Orthodox,"Nov 02, 1983",4.68,50%,3.73,60%,1.09,52%,61%,0.4
Mike Swick,15-6-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979",2.36,37%,2.29,54%,1.06,50%,61%,0.6
Floyd Sword,12-3-0,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1976",0.78,42%,1.57,40%,0.00,0%,33%,0.0
Oumar Sy,6-0-0,--,205 lbs.,--,,"Nov 21, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bentley Syler,5-1-0,"5' 4""",125 lbs.,--,Orthodox,"Dec 22, 1982",1.30,18%,1.73,79%,0.00,0%,75%,0.0
Kevin Syler,10-1-0,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993",5.60,69%,4.03,48%,1.00,40%,77%,2.0
Leo Sylvest,10-16-0,"5' 11""",205 lbs.,--,Orthodox,"Sep 03, 1973",0.00,0%,6.58,27%,0.00,0%,0%,0.0
Tony Sylvester,11-3-0,"6' 1""",225 lbs.,--,Southpaw,"Jan 27, 1978",0.00,0%,10.12,12%,0.00,0%,0%,0.0
Tim Sylvia,31-10-0 (1 NC),"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",4.23,41%,2.61,61%,0.11,100%,75%,0.1
Kevin Szaflarski,10-1-0,--,260 lbs.,--,,"Dec 30, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Osamu Tachihikari,0-4-0,"6' 5""",300 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amber Tackett,1-3-0,--,115 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eugenio Tadeu,2-3-0 (1 NC),"5' 8""",160 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Tafa,6-3-0,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",5.09,54%,5.95,49%,0.00,0%,100%,0.0
Junior Tafa,4-1-0,"6' 3""",240 lbs.,"72""",Orthodox,"Sep 21, 1996",1.47,36%,0.47,75%,0.00,0%,83%,0.0
Khalid Taha,13-5-0 (1 NC),"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",2.64,32%,4.12,46%,0.00,0%,61%,0.2
Joe Taimanglo,23-7-1,"5' 4""",135 lbs.,--,,"Jun 27, 1984",4.18,42%,4.55,59%,5.45,40%,100%,1.4
Tatsuro Taira,13-0-0,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",2.79,64%,1.05,54%,2.62,35%,60%,3.7
Mairbek Taisumov,27-6-0,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",2.98,39%,3.03,64%,1.34,63%,88%,0.0
Nobuhiko Takada,2-6-2,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962",0.31,24%,1.92,39%,1.15,20%,0%,0.0
Yoshiki Takahashi,30-27-3 (1 NC),"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969",2.26,51%,6.47,44%,0.00,0%,66%,2.3
Yoko Takahashi,15-12-2,"5' 8""",150 lbs.,--,,"Apr 20, 1973",5.11,54%,8.78,48%,0.00,0%,0%,0.0
Daiju Takase,12-15-2,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978",0.49,30%,1.64,47%,0.84,17%,21%,1.2
Hiroyuki Takaya,21-14-2,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977",3.18,33%,3.16,60%,0.90,45%,66%,0.0
Yoshihiro Takayama,1-4-0,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968",3.40,54%,5.69,29%,0.67,33%,55%,0.0
Makoto Takimoto,6-5-0,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979",1.37,39%,1.71,55%,1.48,50%,25%,1.1
Oleg Taktarov,17-5-2,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Payton Talbott,5-0-0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nordine Taleb,15-7-0,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0
Tsuyoshi Tamakairiki,0-3-0,"6' 0""",220 lbs.,--,Orthodox,--,0.00,0%,26.67,50%,0.00,0%,0%,0.0
Eli Tamez,10-0-0,"5' 7""",135 lbs.,--,,"Aug 22, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kiyoshi Tamura,32-13-3,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969",2.44,53%,1.44,60%,0.58,60%,45%,0.2
Akitoshi Tamura,21-18-2,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",3.73,43%,1.94,78%,0.00,0%,20%,1.0
Issei Tamura,10-8-0,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984",1.89,53%,4.58,44%,0.92,25%,33%,0.0
Jason Tan,5-3-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981",0.69,29%,7.37,18%,0.00,0%,0%,0.0
Akihito Tanaka,2-2-0,--,--,--,Southpaw,--,0.19,50%,2.05,38%,5.59,66%,0%,0.0
Michinori Tanaka,11-3-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990",1.97,37%,1.99,50%,2.40,38%,43%,0.2
Evan Tanner,32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3
Manny Tapia,12-14-1,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981",2.69,21%,4.74,58%,0.49,40%,66%,0.2
Gary Tapusoa,8-3-0,"5' 7""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Miesha Tate,19-9-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 18, 1986",2.61,44%,3.10,51%,1.88,29%,55%,1.3
Deividas Taurosevicius,17-5-0,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977",2.13,43%,1.82,59%,2.00,28%,50%,0.3
Thiago Tavares,21-7-1,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.00,40%,2.31,62%,3.83,42%,62%,1.5
Jeremy Tavares,1-6-0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brad Tavares,19-9-0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.32,42%,3.06,56%,0.85,26%,80%,0.0
Paul Taylor,11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5
Jesse Taylor,31-15-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983",1.94,65%,0.55,38%,7.28,50%,100%,3.1
Torrance Taylor,13-8-1,"5' 7""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Louis Taylor,13-4-0,"5' 11""",185 lbs.,--,Orthodox,"May 12, 1979",2.06,32%,1.24,68%,2.48,28%,100%,0.0
Anthony Taylor,1-3-0,"5' 7""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danielle Taylor,9-4-0,"5' 0""",115 lbs.,"60""",Orthodox,"Oct 25, 1989",2.75,29%,3.31,71%,0.20,20%,70%,0.2
J.T Taylor,7-7-0,"5' 10""",--,--,,--,3.17,80%,3.70,26%,3.96,100%,0%,7.9
James Te Huna,16-9-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 29, 1981",4.04,51%,2.99,62%,2.75,37%,58%,0.2
Shawn Teed,5-2-0,"6' 5""",265 lbs.,--,Orthodox,"Feb 13, 1992",1.40,42%,13.31,21%,0.00,0%,0%,0.0
Glover Teixeira,33-9-0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",3.73,49%,4.43,51%,2.11,33%,60%,0.9
John Teixeira,21-2-2,"5' 7""",145 lbs.,--,Orthodox,"Nov 18, 1986",3.36,35%,3.20,63%,1.00,27%,71%,0.7
Ewerton Teixeira,3-1-0,"6' 1""",242 lbs.,--,,"Feb 13, 1982",2.00,39%,3.22,35%,0.00,0%,33%,0.0
Tra Telligman,7-5-1,"6' 2""",233 lbs.,--,Orthodox,"Feb 07, 1965",1.83,35%,3.02,56%,0.87,100%,80%,0.0
Taneisha Tennant,5-1-0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1989",5.67,55%,3.40,71%,0.00,0%,100%,0.0
Herman Terrado,15-3-1,--,170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dave Terrel,7-7-0,"5' 8""",170 lbs.,--,Southpaw,"May 10, 1978",2.62,43%,2.80,48%,3.28,38%,100%,0.0
David Terrell,6-2-0,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5
James Terry,19-9-0,"5' 10""",170 lbs.,--,Orthodox,"Mar 16, 1981",3.23,32%,4.77,64%,3.31,36%,75%,0.0
Jeff Terry,2-3-0,"6' 2""",205 lbs.,--,,--,1.09,50%,9.27,19%,0.00,0%,100%,0.0
David Teymur,8-2-0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",4.69,43%,3.53,55%,0.94,33%,77%,0.0
Daniel Teymur,7-4-0,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",3.08,46%,3.93,56%,0.56,18%,60%,0.3
Motonobu Tezuka,28-12-7,"5' 7""",135 lbs.,--,Southpaw,"Aug 29, 1987",0.87,23%,2.80,51%,1.50,11%,0%,0.5
Jason Thacker,0-1-0,"5' 10""",185 lbs.,--,Orthodox,"Aug 18, 1975",0.63,33%,17.05,32%,0.00,0%,0%,0.0
Brandon Thatch,11-5-0,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",2.70,42%,3.63,52%,1.36,66%,50%,0.7
Elias Theodorou,16-3-0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0
Nik Theotikos,6-2-0,--,185 lbs.,--,Orthodox,--,0.00,0%,5.48,19%,0.00,0%,0%,4.8
Paulo Thiago,18-9-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",1.71,39%,1.99,63%,1.42,31%,63%,1.2
Din Thomas,26-9-0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 28, 1976",1.85,37%,2.60,59%,1.38,52%,76%,1.2
Ryan Thomas,20-8-0,"6' 0""",170 lbs.,--,Orthodox,"Nov 05, 1984",2.01,36%,4.17,30%,5.59,33%,0%,2.2
Noah Thomas,14-7-0,"5' 9""",135 lbs.,--,Orthodox,"Mar 27, 1981",0.44,13%,4.99,33%,0.00,0%,0%,1.3
Joel Thomas ,5-2-0,"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Treston Thomison,10-6-0,"5' 8""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Thompson,38-14-1,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1981",1.87,42%,1.80,49%,1.06,100%,35%,2.6
James Thompson,20-16-0 (1 NC),"6' 5""",265 lbs.,--,Orthodox,"Dec 16, 1978",5.13,52%,3.19,41%,3.14,36%,53%,1.3
Oli Thompson,17-10-0,"6' 1""",242 lbs.,--,Orthodox,"Jan 02, 1980",1.66,46%,5.31,46%,0.00,0%,50%,0.5
Stephen Thompson,17-6-1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",4.20,45%,3.04,55%,0.27,41%,64%,0.0
Josh Thomson,22-9-0 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3
Simeon Thoresen,17-6-1,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984",3.85,43%,3.85,64%,1.12,40%,50%,1.7
Josh Thornburg,8-8-0,"6' 0""",170 lbs.,--,,"May 24, 1984",1.20,50%,3.13,38%,2.00,66%,42%,2.0
Gleison Tibau,33-14-0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",1.95,31%,2.51,63%,4.08,53%,92%,0.8
Chris Tickle,9-9-0,"5' 9""",155 lbs.,--,,"Feb 01, 1982",1.07,40%,1.13,43%,1.00,25%,20%,2.0
Nolan Ticman,4-3-0,"5' 6""",125 lbs.,--,Orthodox,"May 17, 1988",2.57,47%,2.53,67%,0.00,0%,60%,0.0
Darren Till,18-5-1,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.30,46%,3.31,56%,0.55,46%,69%,0.0
Brett Tillis,0-0-0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Denis Tiuliulin,11-7-0,"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988",5.35,42%,6.07,41%,0.00,0%,72%,0.0
Ryan Tobar,3-3-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrew Todhunter,8-0-0,"6' 0""",185 lbs.,--,Switch,"Nov 30, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dusko Todorovic,12-4-0,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",5.54,57%,4.55,46%,0.96,12%,45%,0.0
Tuco Tokkos,7-3-0,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 30, 1990",5.57,40%,8.86,43%,3.80,100%,0%,0.0
Hideo Tokoro,34-29-2,"5' 7""",135 lbs.,--,Orthodox,"Aug 22, 1977",1.78,37%,2.01,65%,0.87,34%,44%,2.3
Anatoly Tokov,25-2-0,"5' 10""",185 lbs.,--,,"Feb 17, 1990",3.51,72%,0.54,66%,2.03,100%,100%,0.0
Kazuki Tokudome,18-7-1,"5' 11""",155 lbs.,"73""",Southpaw,"Mar 04, 1987",2.26,41%,3.63,53%,2.00,38%,78%,0.0
Tyler Toner,15-7-0 (1 NC),"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",2.95,52%,2.13,62%,0.00,0%,54%,0.4
James Toney,0-1-0,"5' 9""",220 lbs.,--,Orthodox,"Aug 24, 1968",0.00,0%,2.41,27%,0.00,0%,0%,0.0
Masanori Tonooka,1-2-0,"5' 8""",185 lbs.,--,Orthodox,--,0.16,5%,1.09,36%,0.00,0%,0%,0.0
Carl Toomey,3-3-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ilia Topuria,13-0-0,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 21, 1997",3.32,49%,2.75,62%,2.45,46%,92%,2.5
Anthony Torres,5-3-0,"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978",3.54,48%,7.52,45%,0.00,0%,100%,2.2
Miguel Torres,44-9-0,"5' 9""",135 lbs.,"76""",Orthodox,"Jan 18, 1981",3.98,43%,1.86,74%,0.00,0%,17%,1.6
Ronys Torres,35-5-0,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,4.00,47%,16%,0.5
Haven Torres,0-0-0,--,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tecia Torres,13-6-0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.74,48%,3.59,61%,0.66,14%,61%,0.1
Alex Torres,5-4-0,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988",2.47,37%,2.73,69%,2.00,22%,50%,0.0
Abram Torres,4-3-0,"5' 10""",170 lbs.,--,,"Oct 29, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jose Torres,8-1-0,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992",4.37,36%,9.84,50%,1.28,33%,75%,0.0
Desmond Torres,7-2-0,"5' 6""",135 lbs.,"69""",Orthodox,"Jan 06, 1997",4.80,64%,11.78,48%,0.00,0%,100%,0.0
Manuel Torres,13-2-0,"5' 10""",155 lbs.,"73""",,"Mar 25, 1995",10.50,55%,3.74,58%,0.00,0%,100%,0.0
Salim Touahri,10-4-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.60,46%,2.87,58%,0.00,0%,83%,0.0
Dequan Townsend,21-12-0,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",1.23,34%,3.92,38%,0.00,0%,46%,0.0
Minoru Toyonaga,2-5-0,"5' 11""",195 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Slim Trabelsi,5-0-0,"6' 3""",235 lbs.,--,,"May 09, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roberto Traven,6-4-1,"6' 3""",227 lbs.,--,Orthodox,"Sep 16, 1968",0.92,50%,2.77,57%,0.00,0%,0%,0.0
Bryan Travers,15-4-0,--,155 lbs.,--,,"Apr 11, 1983",2.33,48%,3.93,55%,2.00,28%,63%,0.0
Alexander Trevino,7-7-0,--,170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Francisco Trevino,13-3-0,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981",2.65,42%,2.42,64%,0.97,22%,41%,0.0
Angelo Trevino,7-3-0,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993",5.19,54%,3.90,47%,0.00,0%,100%,0.0
Frank Trigg,21-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.90,56%,2.35,47%,75%,0.8
Francisco Trinaldo,28-9-0,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",3.13,45%,2.67,60%,0.98,42%,60%,0.5
Damien Trites,7-6-0,"5' 11""",165 lbs.,--,,"Aug 23, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael Trizano,11-3-0,"5' 11""",145 lbs.,"71""",Orthodox,"Dec 31, 1991",3.63,53%,4.40,50%,0.36,66%,72%,0.5
Antonio Trocoli,12-3-0 (1 NC),"6' 5""",205 lbs.,"82""",Orthodox,"Dec 06, 1990",1.27,71%,4.56,25%,3.80,100%,100%,3.8
Tor Troeng,16-7-1,"6' 2""",185 lbs.,--,Orthodox,"Jan 25, 1983",1.16,46%,3.26,32%,0.62,7%,66%,0.3
Aaron Trujillo,0-1-0,"5' 5""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Reynaldo Trujillo,21-19-0,"5' 9""",155 lbs.,--,,"Jan 01, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Abel Trujillo,15-8-0 (1 NC),"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2.65,41%,2.31,59%,2.18,45%,40%,0.4
Arman Tsarukyan,19-3-0,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.56,45%,1.93,54%,3.30,33%,75%,0.0
Rei Tsuruya,6-0-0,"5' 6""",125 lbs.,--,Orthodox,"Jun 22, 2002",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Tuchscherer,21-4-0 (1 NC),"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",1.35,31%,3.17,47%,1.19,18%,0%,0.6
Jon Tuck,10-5-0,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",3.00,40%,3.74,60%,0.42,33%,50%,1.0
Gavin Tucker,13-2-0,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.39,45%,4.28,57%,2.98,42%,53%,1.5
Jumabieke Tuerxun,19-4-1,"5' 7""",135 lbs.,--,Orthodox,"Apr 17, 1986",1.60,28%,3.08,59%,0.47,11%,66%,0.9
Tom Tuggle,0-3-0,"6' 2""",250 lbs.,--,Orthodox,--,0.00,0%,2.14,0%,32.14,100%,0%,0.0
Blair Tugman,10-6-0,"6' 0""",135 lbs.,--,,--,2.25,53%,0.93,50%,7.50,60%,0%,0.0
Tai Tuivasa,15-5-0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",4.10,49%,4.46,45%,0.00,0%,52%,0.0
Zubaira Tukhugov,20-6-1,"5' 8""",155 lbs.,"68""",Orthodox,"Jan 15, 1991",3.17,39%,3.07,63%,2.13,39%,100%,0.0
Teila Tuli,0-1-0,"6' 0""",430 lbs.,--,Orthodox,"Jun 14, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marco Tulio,9-1-0,--,185 lbs.,--,,"Aug 30, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nyamjargal Tumendemberel,6-0-0,"5' 7""",125 lbs.,--,Orthodox,"Mar 22, 1998",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Albert Tumenov,18-4-0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",3.76,42%,3.34,58%,0.20,20%,75%,0.0
Ricky Turcios,13-3-0,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993",5.08,37%,3.70,55%,1.00,25%,45%,0.2
Anton Turkalj,8-2-0,"6' 4""",205 lbs.,"78""",Orthodox,"Jun 10, 1996",1.60,58%,2.18,50%,6.97,51%,16%,0.0
Wellington Turman,18-6-0,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 22, 1996",2.92,49%,3.79,44%,1.79,21%,50%,1.0
Courtney Turner,0-3-0,"6' 2""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
